Rank,Symbol,Description,Market capitalization,Price,High All Time,Price Change % 1 day,Price Change % 1 week,Price * Volume (Turnover) 1 day,Relative Volume 1 day,Volume Weighted Average Price 1 day,Average True Range % (14) 1 day,Volatility 1 day,Volatility 1 week,Volume Change % 1 day
1,RELIANCE,Reliance Industries Limited,1893599,1405.30,1608.80,0.43%,0.74%,1220.78,1.02,1403.83,1.37%,0.70,0.91,60.97%
2,HDFCBANK,HDFC Bank Limited,1484276,966.85,1018.85,-0.02%,-0.05%,1804.32,1.27,965.80,1.21%,0.85,0.95,28.82%
3,TCS,Tata Consultancy Services Limited,1125768,3145.70,4592.25,1.09%,0.39%,809.52,1.23,3134.93,1.48%,1.32,1.33,48.54%
4,AIRTELPP.E1,Bharti Airtel Limited TEMP,1085357,1476.10,1557.60,2.27%,1.55%,8.93,0.68,1467.88,1.86%,2.38,2.00,-55.61%
5,BHARTIARTL,Bharti Airtel Limited,1085357,1939.50,2045.80,1.84%,1.94%,1052.68,1.42,1928.00,1.46%,2.08,1.41,52.75%
6,ICICIBANK,ICICI Bank Limited,1013719,1421.60,1500.00,0.15%,0.28%,1167.58,1.06,1420.07,1.12%,0.79,0.92,40.50%
7,SBIN,State Bank of India,761434,831.55,912.00,0.82%,0.97%,787.27,1.83,828.73,1.10%,1.38,1.10,145.75%
8,BAJFINANCE,Bajaj Finance Limited,628502,1003.25,1025.70,-0.65%,0.00%,762.69,0.90,1006.18,2.02%,1.53,2.23,-23.90%
9,INFY,Infosys Limited,626503,1511.30,2006.45,0.19%,-0.94%,1348.55,1.23,1509.60,2.03%,0.70,1.39,44.68%
10,HINDUNILVR,Hindustan Unilever Limited,606101,2580.90,3035.00,0.00%,0.02%,268.65,0.81,2581.17,1.85%,0.68,1.39,38.28%
11,LICI,Life Insurance Corp. of India,558908,882.55,1222.00,-0.13%,0.89%,77.40,0.92,883.37,1.63%,1.19,0.91,-21.21%
12,ITC,ITC Limited,516913,413.10,498.87,0.11%,-0.16%,340.36,0.67,413.15,1.28%,0.57,0.88,44.36%
13,LT,Larsen & Toubro Limited,493169,3667.80,3963.50,2.28%,2.46%,1073.95,2.44,3644.97,1.47%,2.44,1.28,148.76%
14,MARUTI,Maruti Suzuki India Limited,479877,15573.00,15594.00,2.02%,1.62%,594.80,0.73,15483.67,1.75%,2.15,1.48,123.90%
15,M&M,Mahindra & Mahindra Ltd.,438885,3608.00,3723.80,2.20%,0.50%,889.39,0.72,3585.60,2.49%,2.58,2.31,-3.35%
16,HCLTECH,HCL Technologies Limited,397823,1483.10,2012.20,1.13%,1.08%,255.76,0.72,1476.47,1.82%,1.65,1.51,-0.06%
17,KOTAKBANK,Kotak Mahindra Bank Limited,391948,2021.70,2301.90,2.58%,2.50%,812.09,1.21,2008.47,1.55%,3.03,1.40,53.34%
18,SUNPHARMA,Sun Pharmaceutical Industries Limited,384460,1610.50,1960.35,0.53%,-0.38%,238.45,0.73,1608.50,1.63%,0.94,1.27,-26.19%
19,ULTRACEMCO,UltraTech Cement Limited,365917,12578.00,13097.00,1.15%,1.68%,237.78,1.04,12541.00,1.56%,1.32,1.31,5.30%
20,AXISBANK,Axis Bank Limited,342617,1121.20,1339.65,1.52%,1.44%,893.10,1.56,1117.43,1.49%,2.09,1.78,105.20%
21,BAJAJFINSV,Bajaj Finserv Limited,332233,2080.30,2135.00,0.01%,-0.06%,193.09,0.83,2087.60,1.57%,1.31,1.48,-8.55%
22,NTPC,NTPC Limited,321202,335.05,448.45,1.19%,1.01%,294.34,1.14,334.02,1.54%,1.42,1.42,33.78%
